vd_mesadesc,vd_localizacao,itm,trn,trn_desc,prefixo,tipo,tipovenda,ano,mes,trn_dtgerencial,usr_lancou,prd,prd_desc,grp_desc,loc_desc,qtd,desconto,valorfinal,custo,itm_obs,comandaorigem,itemorigem
1775,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Phelipe,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",C3|Copo com gelo|Limão espremido,,
1775,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,68,Isca de Peixe Empanado,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"79,95",,C4- saia longa azul,,
1775,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",C4- saia longa azul|Copo com gelo|Limão espremido,,
1775,,5,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,547,[DD] Aperol Spritz,Dose Dupla,Montados,1,,"33,95",,C3,,
1778,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,,,
1777,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",Mesa D3|Copo com gelo,,
1777,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,549,[DD] Caipirinha Limão,Dose Dupla,Montados,1,,"26,95",,D3 de marrom,,
1777,,3,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,549,[DD] Caipirinha Limão,Dose Dupla,Montados,1,,"26,95",,,,
1779,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,279,Baldinho com 6 Original 300ml,Baldes,Baldes,1,,"65,95","17,857",,,
1779,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",,,
1780,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Salles,62,Bolinho de Escondidinho 8UN,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,C1 vestido branco com rosa,,
1736,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,267,Trio Coxinha de Frango com Catupiry,Pratos Individuais,Cozinha 2,1,,"41,95",,C2 listrado,,
1734,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,551,[DD] Caipiroska Limão,Dose Dupla,Montados,1,,"26,95",,H7- no pé do L da mesa,,
1734,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,80,Quibe do Calaf,Pratos Individuais,Cozinha 2,1,,"16,95",,H7- no pé do L da mesa,,
1793,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,114,Redbull 250ml,Bebidas Não Alcoólicas,Bar,1,,"15,95","8,04",H7- no pé do L da mesa|Tradicional,,
1793,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,80,Quibe do Calaf,Pratos Individuais,Cozinha 2,1,,"16,95",,H7- no pé do L da mesa,,
1776,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,132,Xeque Mate 355ml,Bebidas Prontas,Bar,1,,"19,95","6,65",Mesa D3|Copo com gelo|Limão Rodela,,
1776,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",D3|Copo com gelo,,
1776,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Wendel,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",Mesa D3,,
1776,,4,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,86,Água sem Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,305",D3,,
1795,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,412,Isca de Frango,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"54,95",,H7- no pé do L da mesa,,
1795,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",H7- no pé do L da mesa|Copo com gelo|Limão Rodela,,
1794,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,74,Torresmo de Banda,Pratos Individuais,Cozinha 2,1,,"29,9",,H7- no pé do L da mesa,,
1794,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,85,Água com Gás 500ml,Bebidas Não Alcoólicas,Bar,1,,"7,95","1,5",H7- no pé do L da mesa|Copo com gelo|Limão espremido,,
1794,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,63,Croquete de Carne 8un,Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,1,,"49,95",,H7- no pé do L da mesa,,
1799,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Debora,268,Trio Disco de Carne,Pratos Individuais,Cozinha 2,1,,"41,95",,,,
1799,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Aglicio,564,[DD] Negroni,Dose Dupla,Mexido,1,,"31,95",,B3- vestido preto,,
1799,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Douglas,199,Dose Cachaça Ypióca 150,Doses,Shot e Dose,1,,"18,95",,"B3,limão e sal",,
1742,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Thaylson,650,Baldinho Spaten 330ml,Baldes,Baldes,1,,"71,7",,,,
1800,,1,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,597,[DD] Original 300ml,Dose Dupla,Bar,3,,"38,85",,B3,,
1800,,2,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,640,[DD] Gin Melancita Tanqueray,Dose Dupla,Montados,1,,"40,95",,b3,,
1800,,3,271,,,venda integral,,2025,2025-12,2025-12-15,Marra,640,[DD] Gin Melancita Tanqueray,Dose Dupla,Montados,1,,"40,95",,b3,,
1800,,4,271,,,venda integral,,2025,2025-12,2025-12-15,L.Almeida,597,[DD] Original 300ml,Dose Dupla,Bar,2,,"25,9",,,,
