Data de competência,Tipo do lançamento,Recorrência,Descrição,Identificador do fornecedor/cliente,Nome do fornecedor/cliente,Código referência,Valor (R$),Número de parcelas,Observações,Categoria 1,Valor na Categoria 1,Centro de Custo 1,Categoria Macro,Ano,Mês,,Categs Cadastradas,Categ Macro
01/02/2025,,,Variação de Estoque,,,,"R$ 31.511,57",,,Custo Bebidas,,,Custo insumos (CMV),2025,2,,Produção Eventos,Despesas Comerciais
01/02/2025,,,Variação de Estoque,,,,"R$ 47.304,21",,,Custo Drinks,,,Custo insumos (CMV),2025,2,,Stone Débito,Receita
,,,,,,,,,,,,,,1899,12,,IMPOSTO,Custos Variáveis
15/05/2025,,,Compensação Conta de Luz Maio,,,,"-R$ 5.429,39",,,Luz,,,Despesas de Ocupação (Contas),2025,5,,,
15/05/2025,,,Compensação Conta de Luz Maio,,,,"R$ 5.429,39",,,Contratos,,,Não Operacionais,2025,5,,,
01/05/2025,,,Ambev Bonificação Contrato Cash-back Abril,,,,"-R$ 12.545,32",,,Custo Bebidas,,,Custo insumos (CMV),2025,5,,ADICIONAIS,Mão-deObra
30/04/2025,,,Ambev Bonificação Contrato Cash-back Abril,,,,"R$ 12.545,32",,,Contratos,,,Não Operacionais,2025,4,,SEGURANÇA,Mão-deObra
01/05/2025,,,Consumo Artistas,,,,"-R$ 8.911,75",,,Produção Eventos,,,Despesas Comerciais,2025,5,,LUZ,Despesas de Ocupação (Contas)
01/05/2025,,,Consumo Benefícios,,,,"-R$ 5.466,88",,,Marketing,,,Despesas Comerciais,2025,5,,FREELA LIMPEZA,Mão-deObra
01/05/2025,,,Consumo Sócios,,,,,,,Outros Sócios,,,SÓCIOS,2025,5,,Estorno,Despesas Operacionais
01/05/2025,,,"Consumo RH, Adm e Casa",,,,"-R$ 122,84",,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,5,,Outros Sócios,SÓCIOS
01/05/2025,,,Consumo Escritório Central,,,,,,,Escritório Central,,,Despesas Administrativas,2025,5,,Receita de Eventos,Receita
01/05/2025,,,"Consumo Sócios, Benefícios, RH e Artistas",,,,"R$ 14.501,47",,,Custo Comida,,,Custo insumos (CMV),2025,5,,Outras Receitas,Receita
01/05/2025,,,Variação de Estoque,,,,"-R$ 2.180,51",,,Custo Comida,,,Custo insumos (CMV),2025,5,,Equipamentos R,Investimentos
01/05/2025,,,Variação de Estoque,,,,"R$ 36.919,09",,,Custo Bebidas,,,Custo insumos (CMV),2025,5,,Despesas Financeiras,Não Operacionais
01/05/2025,,,Variação de Estoque,,,,"R$ 9.687,62",,,Custo Drinks,,,Custo insumos (CMV),2025,5,,,
,,,,,,,,,,,,,,1899,12,,,
15/06/2025,,,Compensação Conta de Luz Junho,,,,"-R$ 4.844,23",,,Luz,,,Despesas de Ocupação (Contas),2025,6,,,
15/06/2025,,,Compensação Conta de Luz Junho,,,,"R$ 4.844,23",,,Contratos,,,Não Operacionais,2025,6,,,
15/06/2025,,,Ambev Bonificação Contrato Cash-back Maio,,,,"-R$ 13.989,65",,,Custo Bebidas,,,Custo insumos (CMV),2025,6,,,
31/05/2025,,,Ambev Bonificação Contrato Cash-back Maio,,,,"R$ 13.989,65",,,Contratos,,,Não Operacionais,2025,5,,,
15/06/2025,,,Consumo Artistas,,,,"-R$ 11.657,71",,,Produção Eventos,,,Despesas Comerciais,2025,6,,,
15/06/2025,,,Consumo Benefícios,,,,"-R$ 4.820,86",,,Marketing,,,Despesas Comerciais,2025,6,,,
15/06/2025,,,Consumo Sócios,,,,,,,Outros Sócios,,,SÓCIOS,2025,6,,,
15/06/2025,,,"Consumo RH, Adm e Casa",,,,"-R$ 194,58",,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,6,,,
15/06/2025,,,Consumo Escritório Central,,,,,,,Escritório Central,,,Despesas Administrativas,2025,6,,,
15/06/2025,,,"Consumo Sócios, Benefícios, RH e Artistas",,,,"R$ 16.673,16",,,Custo Comida,,,Custo insumos (CMV),2025,6,,,
15/06/2025,,,Variação de Estoque,,,,"R$ 64,82",,,Custo Comida,,,Custo insumos (CMV),2025,6,,,
15/06/2025,,,Variação de Estoque,,,,"-R$ 32.799,46",,,Custo Bebidas,,,Custo insumos (CMV),2025,6,,,
15/06/2025,,,Variação de Estoque,,,,"-R$ 7.159,71",,,Custo Drinks,,,Custo insumos (CMV),2025,6,,,
,,,,,,,,,,,,,,1899,12,,,
15/07/2025,,,Ambev Bonificação Contrato Cash-back Junho,,,,"-R$ 16.517,90",,,Custo Bebidas,,,Custo insumos (CMV),2025,7,,,
30/06/2025,,,Ambev Bonificação Contrato Cash-back Junho,,,,"R$ 16.517,90",,,Contratos,,,Não Operacionais,2025,6,,,
15/07/2025,,,Consumo Artistas,,,,"-R$ 10.511,90",,,Produção Eventos,,,Despesas Comerciais,2025,7,,,
15/07/2025,,,Consumo Benefícios,,,,"-R$ 6.525,73",,,Marketing,,,Despesas Comerciais,2025,7,,,
15/07/2025,,,Consumo Sócios,,,,"-R$ 927,58",,,Outros Sócios,,,SÓCIOS,2025,7,,,
15/07/2025,,,"Consumo RH, Adm e Casa",,,,"-R$ 389,01",,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,7,,,
15/07/2025,,,Consumo Escritório Central,,,,,,,Escritório Central,,,Despesas Administrativas,2025,7,,,
15/07/2025,,,"Consumo Sócios, Benefícios, RH e Artistas",,,,"R$ 18.354,22",,,Custo Comida,,,Custo insumos (CMV),2025,7,,,
15/07/2025,,,Variação de Estoque,,,,"R$ 2.903,21",,,Custo Comida,,,Custo insumos (CMV),2025,7,,,
15/07/2025,,,Variação de Estoque,,,,"R$ 32.789,25",,,Custo Bebidas,,,Custo insumos (CMV),2025,7,,,
15/07/2025,,,Variação de Estoque,,,,"-R$ 3.728,99",,,Custo Drinks,,,Custo insumos (CMV),2025,7,,,
15/07/2025,,,Compensação Conta de Luz Julho,,,,"-R$ 3.772,14",,,Luz,,,Despesas de Ocupação (Contas),2025,7,,,
15/07/2025,,,Compensação Conta de Luz Julho,,,,"R$ 3.772,14",,,Contratos,,,Não Operacionais,2025,7,,,
,,,,,,,,,,,,,,1899,12,,,
15/08/2025,,,Ambev Bonificação Contrato Cash-back Julho,,,,"-R$ 24.312,40",,,Custo Bebidas,,,Custo insumos (CMV),2025,8,,,
31/07/2025,,,Ambev Bonificação Contrato Cash-back Julho,,,,"R$ 24.312,40",,,Contratos,,,Não Operacionais,2025,7,,,
15/08/2025,,,Consumo Artistas,,,,"-R$ 10.553,22",,,Produção Eventos,,,Despesas Comerciais,2025,8,,,
15/08/2025,,,Consumo Benefícios,,,,"-R$ 6.900,57",,,Marketing,,,Despesas Comerciais,2025,8,,,
15/08/2025,,,Consumo Sócios,,,,"-R$ 1.752,33",,,Outros Sócios,,,SÓCIOS,2025,8,,,
15/08/2025,,,"Consumo RH, Adm e Casa",,,,"-R$ 596,52",,,RECURSOS HUMANOS,,,Despesas Administrativas,2025,8,,,
15/08/2025,,,Consumo Escritório Central,,,,,,,Escritório Central,,,Despesas Administrativas,2025,8,,,
15/08/2025,,,"Consumo Sócios, Benefícios, RH e Artistas",,,,"R$ 19.802,64",,,Custo Comida,,,Custo insumos (CMV),2025,8,,,
15/08/2025,,,Variação de Estoque,,,,"R$ 692,11",,,Custo Comida,,,Custo insumos (CMV),2025,8,,,
15/08/2025,,,Variação de Estoque,,,,"-R$ 39.278,13",,,Custo Bebidas,,,Custo insumos (CMV),2025,8,,,
