CH_Pagamentos,,,,,CH_Períodos,,,,,,,,CH_Analitico,,,,,,,,CH_Tempo,,,,,,,
Mês,Semana,dt_gerencial,liquido,meio,Mês,Ano,dt_gerencial,Semana,pessoas,vr_pagamentos,vr_repique,vr_couvert,Mês,Ano,vd_dtgerencial,Semana,valorfinal,grp_desc,loc_desc,Categoria,Mês,Ano,#REF!,Semana,#REF!,#REF!,#REF!,Categ
12,49,01/12/2025,"R$ 112,30",Credito Auto,12,2025,01/12/2025,49,1,"37,81","1,91",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 129,54",Credito Auto,12,2025,01/12/2025,49,2,"240,3","23,6",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 100,00",Dinheiro,12,2025,01/12/2025,49,1,"129,54","11,74",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"-R$ 8,50",Dinheiro,12,2025,01/12/2025,49,1,"91,5","7,7",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 83,83",Credito Auto,12,2025,01/12/2025,49,1,"83,83","8,98",,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 34,50",Credito Auto,12,2025,01/12/2025,49,1,"34,5","1,55",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 97,33",Debito Auto,12,2025,01/12/2025,49,1,"97,33","10,43",,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 349,74",Pix Auto,12,2025,01/12/2025,49,2,"349,74","33,19",40,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 115,14",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 218,01",Credito Auto,12,2025,01/12/2025,49,1,"115,14","12,34",,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 207,88",Credito Auto,12,2025,01/12/2025,49,1,"218,01","23,36",,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 20,00",Debito Auto,12,2025,01/12/2025,49,1,,,,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 58,02",Credito Auto,12,2025,01/12/2025,49,1,"207,88","20,13",20,12,2025,01/12/2025,49,"R$ 15,90",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 181,00",Credito Auto,12,2025,01/12/2025,49,1,20,,20,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 260,46",Credito Auto,12,2025,01/12/2025,49,1,"58,02","4,07",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 87,09",Debito Auto,12,2025,01/12/2025,49,1,181,"17,25",20,12,2025,01/12/2025,49,"R$ 54,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 102,77",Credito Auto,12,2025,01/12/2025,49,1,"260,46","25,76",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 88,26",Debito Auto,12,2025,01/12/2025,49,1,"87,09","7,19",20,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 63,51",Credito Auto,12,2025,01/12/2025,49,1,"102,77","8,87",20,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 53,65",Credito Auto,12,2025,01/12/2025,49,1,"88,26","9,46",,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 154,06",Debito Auto,12,2025,01/12/2025,49,1,"63,51","4,66",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 75,94",Credito Auto,12,2025,01/12/2025,49,1,"53,65","5,75",,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 102,79",Credito Auto,12,2025,01/12/2025,49,1,"154,06","14,36",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 102,79",Credito Auto,12,2025,01/12/2025,49,1,"75,94","5,99",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 156,30",Debito Auto,12,2025,01/12/2025,49,1,"205,58","19,88",20,12,2025,01/12/2025,49,"R$ 34,95",Pratos Para Compartilhar - P/ 4 Pessoas,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 63,51",Credito Auto,12,2025,01/12/2025,49,1,"156,3","14,6",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 102,71",Credito Auto,12,2025,01/12/2025,49,1,"63,51","4,66",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 39,20",Credito Auto,12,2025,01/12/2025,49,1,"141,91","13,06",20,12,2025,01/12/2025,49,"R$ 39,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 161,85",Debito Auto,12,2025,01/12/2025,49,1,"161,85","15,2",20,12,2025,01/12/2025,49,"R$ 38,85",Dose Dupla,Baldes,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 87,09",Credito Auto,12,2025,01/12/2025,49,1,"87,09","7,19",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 84,74",Credito Auto,12,2025,01/12/2025,49,1,"84,74","6,94",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 125,06",Credito Auto,12,2025,01/12/2025,49,1,"125,06","11,26",20,12,2025,01/12/2025,49,"R$ 54,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 33,52",Pix Auto,12,2025,01/12/2025,49,,"33,52",,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 125,06",Credito Auto,12,2025,01/12/2025,49,1,"125,06","11,26",20,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 145,49",Credito Auto,12,2025,01/12/2025,49,1,"145,49","15,59",,12,2025,01/12/2025,49,"R$ 33,95",Sanduíches,Cozinha 1,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 107,02",Credito Auto,12,2025,01/12/2025,49,1,"107,02","9,32",20,12,2025,01/12/2025,49,"R$ 12,95",Dose Dupla,Baldes,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 123,88",Credito Auto,12,2025,01/12/2025,49,1,"123,88","11,13",20,12,2025,01/12/2025,49,"R$ 39,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 56,90",Credito Auto,12,2025,01/12/2025,49,1,"56,9","3,95",20,12,2025,01/12/2025,49,"R$ 26,95",Dose Dupla,Montados,DRINK,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 87,02",Debito Auto,12,2025,01/12/2025,49,1,"87,02","9,32",,12,2025,01/12/2025,49,"R$ 22,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 107,25",Debito Auto,12,2025,01/12/2025,49,1,"107,25","9,35",20,12,2025,01/12/2025,49,"R$ 64,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 148,41",Debito Auto,12,2025,01/12/2025,49,1,"148,41","13,76",20,12,2025,01/12/2025,49,"R$ 22,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 211,92",Debito Auto,12,2025,01/12/2025,49,2,"211,92","18,42",40,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 73,65",Credito Auto,12,2025,01/12/2025,49,,,,,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 255,70",Debito Auto,12,2025,01/12/2025,49,1,"73,65","5,75",20,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 126,28",Debito Auto,12,2025,01/12/2025,49,1,"255,7","25,25",20,12,2025,01/12/2025,49,"R$ 54,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 97,11",Debito Auto,12,2025,01/12/2025,49,1,"126,28","13,53",,12,2025,01/12/2025,49,"R$ 19,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 187,72",Debito Auto,12,2025,01/12/2025,49,1,"97,11","8,26",20,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 36,74",Credito Auto,12,2025,01/12/2025,49,1,"187,72","17,97",20,12,2025,01/12/2025,49,"R$ 22,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 67,09",Credito Auto,12,2025,01/12/2025,49,1,"36,74","1,79",20,12,2025,01/12/2025,49,"R$ 39,95",Happy Hour,Cozinha 2,COMIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 39,14",Debito Auto,12,2025,01/12/2025,49,1,"67,09","7,19",,12,2025,01/12/2025,49,"R$ 7,95",Bebidas Não Alcoólicas,Bar,BEBIDA,12,1899,,53,,,,#REF!
12,49,01/12/2025,"R$ 154,06",Credito Auto,12,2025,01/12/2025,49,1,"39,14","4,19",,12,2025,01/12/2025,49,"R$ 22,95",Cervejas,Bar,BEBIDA,12,1899,,53,,,,#REF!
