Data;Dia da semana;Semana;Evento;Artista;Gênero;OBS
07/05/2025;QUARTA;19;Quarta de Bamba;Breno Alves;Samba;
08/05/2025;QUINTA;19;R&Baile;;DJ;
09/05/2025;SEXTA;19;Pagode Vira Lata;Paulinho;Pagode;
10/05/2025;SÁBADO;19;ESPECIAL - JORGE ARAGAO;;DJ;
11/05/2025;DOMINGO;19;Uma mesa e um pagode;12 por 8;Pagode;
14/05/2025;QUARTA;20;Quarta de Bamba;Breno Alves;Samba;
15/05/2025;QUINTA;20;R&Baile;;DJ;
16/05/2025;SEXTA;20;Pagode Vira Lata;Benzadeus;Pagode;
17/05/2025;SÁBADO;20;ESPECIAL - BETH CARVALHO;;DJ;
18/05/2025;DOMINGO;20;Um Belo Domingo;Lado a lado;Pagode;
21/05/2025;QUARTA;21;Quarta de Bamba;Breno Alves;Samba;
22/05/2025;QUINTA;21;Modão e Viola;Brener Viola;Sertanejo;
23/05/2025;SEXTA;21;Pagode Vira Lata - Benzadeus;Benzadeus;Pagode;
24/05/2025;SÁBADO;21;"ESPECIAL - ""ZECA PAGODINHO""";Nenel Vida;Vocal;
25/05/2025;DOMINGO;21;Uma mesa e um pagode;12 por 8;Pagode;
28/05/2025;QUARTA;22;Quarta de Bamba;Breno Alves;Samba;
29/05/2025;QUINTA;22;Sertanejo;Lia Almeida;Sertanejo;
30/05/2025;SEXTA;22;Pagode Vira Lata;Benzadeus;Pagode;
31/05/2025;SÁBADO;22;"ESPECIAL - ""ALCIONE""";Karla Sangaletti;Vocal;
01/06/2025;DOMINGO;22;Samba da tia zélia;Tia zélia;Pagode;
02/06/2025;SEGUNDA;23;Jet - Segunda da Resenha;;DJ;
04/06/2025;QUARTA;23;Quarta de Bamba;Breno Alves;Samba;
05/06/2025;QUINTA;23;Modão e Viola;;Sertanejo;
06/06/2025;SEXTA;23;Pagode Vira-Lata;Benzadeus;Pagode;
07/06/2025;SÁBADO;23;ESPECIAL - ;;DJ;
08/06/2025;DOMINGO;23;Uma e Mesa e Um Pagode;12 por 8;Pagode;
09/06/2025;SEGUNDA;24;Jet - Segunda da Resenha;;DJ;
11/06/2025;QUARTA;24;Quarta de Bamba;Breno Alves;Samba;
12/06/2025;QUINTA;24;Moda e Viola;Grazi Maciel;Sertanejo;
13/06/2025;SEXTA;24;Pagode Vira-Lata;Benzadeus;Pagode;
14/06/2025;SÁBADO;24;Sambadona ;;DJ;
15/06/2025;DOMINGO;24;Uma e Mesa e Um Pagode;12 por 8;Pagode;
16/06/2025;SEGUNDA;25;Jet - Segunda da Resenha;;DJ;
18/06/2025;QUARTA;25;Quarta de Bamba;Breno Alves;Samba;Feriado
19/06/2025;QUINTA;25;Moda e Viola;Lia Almeida;Sertanejo;Feriado
20/06/2025;SEXTA;25;Pagode Vira-Lata;Benzadeus;Pagode;
21/06/2025;SÁBADO;25;Samba Rainha;;Samba;
22/06/2025;DOMINGO;25;Uma e Mesa e Um Pagode;12 por 8;Pagode;
23/06/2025;SEGUNDA;26;Jet - Segunda da Resenha;;DJ;
25/06/2025;QUARTA;26;Quarta de Bamba;Breno Alves;Samba;Festival Junino
26/06/2025;QUINTA;26;Moda e Viola;Lia Almeida;Sertanejo;Festival Junino
27/06/2025;SEXTA;26;Pagode Vira-Lata;Benzadeus;Pagode;Festival Junino
28/06/2025;SÁBADO;26;Sambadona ;;DJ;Festival Junino
29/06/2025;DOMINGO;26;PDJ;PDJ;Pagode;
30/06/2025;SEGUNDA;27;Jet - Segunda da Resenha;;Samba;
02/07/2025;QUARTA;27;Quarta de Bamba;Breno Alves;Samba;
03/07/2025;QUINTA;27;Pagode Lado a Lado;Lado a lado;Pagode;
04/07/2025;SEXTA;27;Pagode Vira-Lata;Benzadeus;Pagode;
05/07/2025;SÁBADO;27;Samba Rainha;;Samba;
06/07/2025;DOMINGO;27;PDJ;PDJ;Pagode;
07/07/2025;SEGUNDA;28;Jet - Segunda da Resenha;;Samba;
09/07/2025;QUARTA;28;Quarta de Bamba;Breno Alves;Pagode;
10/07/2025;QUINTA;28;Pagode Sem Querer;Sem Querer;Pagode;
11/07/2025;SEXTA;28;Pagode Vira-Lata;Benzadeus;Pagode;
12/07/2025;SÁBADO;28;Sambadona e Reconvexa;;Samba;Label própria
13/07/2025;DOMINGO;28;Uma Mesa e um Pagode;12 por 8;Pagode;
14/07/2025;SEGUNDA;29;Jet - Segunda da Resenha;;Samba;
16/07/2025;QUARTA;29;Quarta de Bamba;Breno Alves;Samba;
17/07/2025;QUINTA;29;Lucas Alves;Lucas Alves;Pagode;
